20.0094 	WARNING 	Monitor specification not found. Creating a temporary one...
20.0133 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [1680, 1050]. Using actual size
24.2729 	DATA 	Mouse: Left button down, pos=(569,521)
24.2793 	DATA 	Mouse:  Left button up, pos=(569,521)
24.4175 	DATA 	Keypress: space
24.7112 	DATA 	Keypress: space
25.0096 	DATA 	Keypress: space
35.6334 	DATA 	Keypress: d
37.6127 	DATA 	Keypress: space
46.3823 	DATA 	Keypress: n
48.1111 	DATA 	Keypress: space
58.7174 	DATA 	Keypress: d
61.2968 	DATA 	Keypress: space
70.5983 	DATA 	Keypress: y
71.9894 	DATA 	Keypress: space
79.4498 	DATA 	Keypress: y
81.0211 	DATA 	Keypress: space
91.7322 	DATA 	Keypress: n
93.3796 	DATA 	Mouse: Left button down, pos=(159,347)
93.3858 	DATA 	Mouse:  Left button up, pos=(159,347)
93.6431 	DATA 	Keypress: space
108.5143 	DATA 	Keypress: y
111.3516 	DATA 	Keypress: space
112.1663 	DATA 	Keypress: space
119.5980 	DATA 	Keypress: y
120.9202 	DATA 	Keypress: space
130.6653 	DATA 	Keypress: n
132.4003 	DATA 	Keypress: space
140.4815 	DATA 	Keypress: y
141.9835 	DATA 	Keypress: space
151.4637 	DATA 	Keypress: n
153.0767 	DATA 	Keypress: space
160.8980 	DATA 	Keypress: y
162.0784 	DATA 	Keypress: space
170.3474 	DATA 	Keypress: n
172.6243 	DATA 	Keypress: space
180.3472 	DATA 	Keypress: n
182.0977 	DATA 	Keypress: space
190.7969 	DATA 	Keypress: d
194.1410 	DATA 	Keypress: space
202.1952 	DATA 	Keypress: n
203.2116 	DATA 	Keypress: space
203.5930 	DATA 	Keypress: space
211.4963 	DATA 	Keypress: y
212.9311 	DATA 	Keypress: space
220.2646 	DATA 	Keypress: y
221.6166 	DATA 	Keypress: space
229.3469 	DATA 	Keypress: y
230.6290 	DATA 	Keypress: space
239.7137 	DATA 	Keypress: n
241.0343 	DATA 	Keypress: space
250.0457 	DATA 	Keypress: d
251.3191 	DATA 	Keypress: space
259.8794 	DATA 	Keypress: n
261.7032 	DATA 	Keypress: space
269.5452 	DATA 	Keypress: n
270.8037 	DATA 	Keypress: space
279.1787 	DATA 	Keypress: n
280.7727 	DATA 	Keypress: space
289.9116 	DATA 	Keypress: y
291.4313 	DATA 	Keypress: space
299.4618 	DATA 	Keypress: y
300.8498 	DATA 	Keypress: space
308.6454 	DATA 	Keypress: d
310.1563 	DATA 	Keypress: space
321.9613 	DATA 	Keypress: y
324.7970 	DATA 	Keypress: space
325.3931 	DATA 	Keypress: space
333.4616 	DATA 	Keypress: n
334.8801 	DATA 	Keypress: space
343.3267 	DATA 	Keypress: n
345.1108 	DATA 	Keypress: space
353.0431 	DATA 	Keypress: n
354.3753 	DATA 	Keypress: space
363.4261 	DATA 	Keypress: y
364.7435 	DATA 	Keypress: space
373.1932 	DATA 	Keypress: n
374.5818 	DATA 	Keypress: space
384.2938 	DATA 	Keypress: y
385.5896 	DATA 	Keypress: space
393.4928 	DATA 	Keypress: y
395.0737 	DATA 	Keypress: space
403.5768 	DATA 	Keypress: n
405.1998 	DATA 	Keypress: space
413.7927 	DATA 	Keypress: y
415.1546 	DATA 	Keypress: space
422.8918 	DATA 	Keypress: y
424.1902 	DATA 	Keypress: space
431.1594 	DATA 	Keypress: y
432.1363 	DATA 	Keypress: space
433.2373 	DATA 	Keypress: space
443.0257 	DATA 	Keypress: n
444.4310 	DATA 	Keypress: space
454.4587 	DATA 	Keypress: n
455.7877 	DATA 	Keypress: space
464.1412 	DATA 	Keypress: n
465.5163 	DATA 	Keypress: space
473.3587 	DATA 	Keypress: y
474.7010 	DATA 	Keypress: space
481.7417 	DATA 	Keypress: y
483.5678 	DATA 	Keypress: space
491.6068 	DATA 	Keypress: n
492.9362 	DATA 	Keypress: space
500.6775 	DATA 	Keypress: n
502.1024 	DATA 	Keypress: space
509.6747 	DATA 	Keypress: d
511.0922 	DATA 	Keypress: space
520.9090 	DATA 	Keypress: y
522.2098 	DATA 	Keypress: space
530.5224 	DATA 	Keypress: y
531.7945 	DATA 	Keypress: space
540.4395 	DATA 	Keypress: n
541.7410 	DATA 	Keypress: space
549.9407 	DATA 	Keypress: n
550.9112 	DATA 	Keypress: space
551.3841 	DATA 	Keypress: space
559.0407 	DATA 	Keypress: y
560.2949 	DATA 	Keypress: space
567.6723 	DATA 	Keypress: y
568.9314 	DATA 	Keypress: space
577.4558 	DATA 	Keypress: n
579.0116 	DATA 	Keypress: space
587.3226 	DATA 	Keypress: y
588.4254 	DATA 	Keypress: space
588.8861 	DATA 	Keypress: space
595.9721 	DATA 	Keypress: y
597.2792 	DATA 	Keypress: space
605.3554 	DATA 	Keypress: y
606.6016 	DATA 	Keypress: space
615.9889 	DATA 	Keypress: n
617.3349 	DATA 	Keypress: space
626.0224 	DATA 	Keypress: n
627.2576 	DATA 	Keypress: space
637.3211 	DATA 	Keypress: y
639.1439 	DATA 	Keypress: space
648.6048 	DATA 	Keypress: y
649.8654 	DATA 	Keypress: space
659.0539 	DATA 	Keypress: n
660.3034 	DATA 	Keypress: space
667.8216 	DATA 	Keypress: n
669.3765 	DATA 	Keypress: space
676.7203 	DATA 	Keypress: y
678.0607 	DATA 	Keypress: space
686.3710 	DATA 	Keypress: n
687.4699 	DATA 	Keypress: space
694.4532 	DATA 	Keypress: y
695.5739 	DATA 	Keypress: space
703.4874 	DATA 	Keypress: y
704.3994 	DATA 	Keypress: space
705.2139 	DATA 	Keypress: space
713.3212 	DATA 	Keypress: n
714.3763 	DATA 	Keypress: space
724.2186 	DATA 	Keypress: n
725.5896 	DATA 	Keypress: space
732.9866 	DATA 	Keypress: y
734.3382 	DATA 	Keypress: space
744.2354 	DATA 	Keypress: n
745.0543 	DATA 	Keypress: space
745.6509 	DATA 	Keypress: space
753.0696 	DATA 	Keypress: n
754.5817 	DATA 	Keypress: space
762.2182 	DATA 	Keypress: n
763.5662 	DATA 	Keypress: space
770.9197 	DATA 	Keypress: y
772.6576 	DATA 	Keypress: space
779.9195 	DATA 	Keypress: d
782.1560 	DATA 	Keypress: space
790.3867 	DATA 	Keypress: n
791.7512 	DATA 	Keypress: space
799.2683 	DATA 	Keypress: n
800.3474 	DATA 	Keypress: space
808.4677 	DATA 	Keypress: n
809.2859 	DATA 	Keypress: space
809.7534 	DATA 	Keypress: space
817.6353 	DATA 	Keypress: y
818.9476 	DATA 	Keypress: space
826.1510 	DATA 	Keypress: y
827.4323 	DATA 	Keypress: space
835.9334 	DATA 	Keypress: n
837.2074 	DATA 	Keypress: space
845.3507 	DATA 	Keypress: n
847.1236 	DATA 	Keypress: space
854.6854 	DATA 	Keypress: y
855.6200 	DATA 	Keypress: space
856.0936 	DATA 	Keypress: space
863.2510 	DATA 	Keypress: y
864.6438 	DATA 	Keypress: space
871.5330 	DATA 	Keypress: y
872.8249 	DATA 	Keypress: space
881.2325 	DATA 	Keypress: y
882.5624 	DATA 	Keypress: space
889.9498 	DATA 	Keypress: n
891.1228 	DATA 	Keypress: space
891.8005 	DATA 	Keypress: space
898.7161 	DATA 	Keypress: y
899.9332 	DATA 	Keypress: space
907.0829 	DATA 	Keypress: y
908.3851 	DATA 	Keypress: space
916.9492 	DATA 	Keypress: n
918.2142 	DATA 	Keypress: space
925.5816 	DATA 	Keypress: n
926.9287 	DATA 	Keypress: space
934.3810 	DATA 	Keypress: n
935.5360 	DATA 	Keypress: space
942.6992 	DATA 	Keypress: y
943.7891 	DATA 	Keypress: space
951.6657 	DATA 	Keypress: d
952.5006 	DATA 	Keypress: space
953.5978 	DATA 	Keypress: space
961.4982 	DATA 	Keypress: n
962.9644 	DATA 	Keypress: space
970.5481 	DATA 	Keypress: y
971.8674 	DATA 	Keypress: space
