Trial	Beat	Sentence	Sentence_extraction	Congruency	Validity	Sensitivity	Probe	Response	Accuracy	RT
1	binary	['f', '*', 'n', '+', 'd', '*', 'p']	*+*	incongruent	False	sensitive	f * d + n * p	d	0	4.9876931339968
2	binary	['h', '*', 'm', '+', 'a', '*', 'v']	*+*	congruent	False	sensitive	v * m + a * h	n	1	2.2366232959902845
3	binary	['m', '+', 's', '*', 'd', '+', 'j']	+*+	congruent	True	sensitive	d + j * m + s	d	0	4.082582081027795
4	binary	['a', '+', 'q', '*', 'g', '+', 'j']	+*+	incongruent	True	insensitive	j + g * q + a	y	1	3.1689152030157857
5	binary	['h', '*', 'f', '+', 'g', '*', 't']	*+*	incongruent	True	sensitive	f * h + t * g	y	1	1.3210793299949728
6	binary	['w', '*', 'c', '+', 'h', '*', 'y']	*+*	incongruent	False	sensitive	w * h + c * y	n	1	4.5703457909985445
7	binary	['w', '*', 'f', '+', 'j', '*', 'x']	*+*	incongruent	False	sensitive	x * f + j * w	y	0	8.736091446015052
8	binary	['v', '+', 'f', '*', 'e', '+', 'r']	+*+	incongruent	True	insensitive	v + f * e + r	y	1	1.2862273450009525
9	binary	['a', '+', 'w', '*', 'z', '+', 'f']	+*+	incongruent	True	sensitive	w + a * f + z	n	0	3.604335310985334
10	binary	['k', '+', 'g', '*', 'j', '+', 'a']	+*+	congruent	True	insensitive	k + g * j + a	y	1	1.553351146983914
11	binary	['x', '*', 'c', '+', 'u', '*', 'e']	*+*	congruent	False	insensitive	u * x + e * c	n	1	2.936765947029926
12	binary	['w', '*', 'd', '+', 'a', '*', 'c']	*+*	congruent	True	insensitive	w * d + a * c	y	1	1.2871684260317124
13	binary	['q', '*', 'm', '+', 'r', '*', 'y']	*+*	congruent	True	insensitive	y * r + m * q	n	0	1.7364555459935218
14	binary	['a', '*', 'f', '+', 'c', '*', 'd']	*+*	congruent	False	sensitive	a * c + f * d	n	1	1.186784424004145
15	binary	['e', '*', 'u', '+', 'q', '*', 'n']	*+*	incongruent	True	insensitive	n * q + u * e	d	0	2.5696789830108173
16	binary	['m', '*', 'q', '+', 'v', '*', 'z']	*+*	congruent	False	insensitive	v * m + z * q	n	1	1.5183219750178978
17	binary	['c', '*', 'h', '+', 'x', '*', 'q']	*+*	incongruent	True	insensitive	q * x + h * c	y	1	1.76998454896966
18	binary	['w', '*', 'g', '+', 'p', '*', 't']	*+*	incongruent	True	sensitive	g * w + t * p	y	1	1.2159918589750305
19	binary	['x', '*', 'f', '+', 'r', '*', 'j']	*+*	incongruent	True	sensitive	r * j + x * f	y	1	1.6043477930361405
20	binary	['x', '*', 'b', '+', 'a', '*', 'c']	*+*	congruent	False	sensitive	c * b + a * x	n	1	2.554159682011232
21	binary	['x', '+', 'j', '*', 'k', '+', 'h']	+*+	incongruent	False	insensitive	k + x * h + j	d	0	2.8694641800248064
22	binary	['n', '+', 'u', '*', 'g', '+', 'j']	+*+	congruent	True	sensitive	u + n * j + g	n	0	2.021551608981099
